nvm_seq,flash_page,flash_slot,flash_offset,record_timestamp_ms,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_speed_mps,gps_vel_down_mps,gps_heading_deg,gps_utc_time,gps_num_satellites,gps_fix_type,gps_valid,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid,baro_pressure_pa,baro_alt_m,baro_temp_c,baro_valid,i2c_bus_state,batt_voltage_mv,batt_valid,coral_block,coral_valid,record_crc16
379,19,18,40784,249227,48.09564208984375,11.531148910522461,564.0,0.07900000363588333,-0.013000000268220901,201.49607849121094,222258,14,3,1,-0.974853515625,-0.010498046875,-0.139404296875,0.9848264455795288,-0.6564885377883911,0.39694657921791077,-1.0916030406951904,1,95695.0,-0.329193115234375,20.190000534057617,1,0,3766,1,020c0000ff04010138a003000c000000,0,0x4DD9
380,20,0,40960,279233,48.095645904541016,11.531155586242676,565.0,0.07999999821186066,0.10300000011920929,198.3757781982422,222328,14,3,1,-0.978515625,-0.01171875,-0.130615234375,0.9872641563415527,-0.694656491279602,0.17557251453399658,-1.1526718139648438,1,95694.0,-0.1134033203125,20.139999389648438,1,0,3766,1,040c0000ff030100f62804000e000000,1,0xD930
381,20,1,41064,309333,48.09565734863281,11.531092643737793,558.0,0.014999999664723873,0.023000000044703484,198.3757781982422,222358,13,3,1,-0.970947265625,-0.011962890625,-0.137451171875,0.9807010293006897,-0.7480915784835815,0.19847328960895538,-1.14503812789917,1,95694.0,-0.008697509765625,20.200000762939453,1,0,3766,1,060c0000ff0f0600b8b1040010000000,1,0xEB79
382,20,2,41168,339333,48.095664978027344,11.531088829040527,558.0,0.09799999743700027,-0.012000000104308128,263.10546875,222428,14,3,1,-0.98095703125,-0.016357421875,-0.13037109375,0.9897176027297974,-0.8625954389572144,0.3206106722354889,-1.160305380821228,1,95695.0,-0.123077392578125,20.079999923706055,1,0,3756,1,070c0000ff06020114f6040011000000,0,0xC309
383,20,3,41272,369433,48.095645904541016,11.531072616577148,554.0,0.10400000214576721,-0.009999999776482582,233.87045288085938,222458,14,3,1,-0.97412109375,-0.010986328125,-0.132568359375,0.9831617474555969,-0.6793892979621887,0.23664122819900513,-1.1679389476776123,1,95695.0,-0.024200439453125,20.139999389648438,1,0,3753,1,090c0000ff070300df7e050013000000,1,0x3F3F
384,20,4,41376,399441,48.09565353393555,11.531103134155273,552.0,0.041999999433755875,0.032999999821186066,233.87045288085938,222528,13,3,1,-0.97509765625,-0.007080078125,-0.140380859375,0.9851763248443604,-0.6870229244232178,0.06870228797197342,-1.14503812789917,1,95695.0,-0.016754150390625,20.170000076293945,1,0,3760,1,0b0c0000ff020100b207060015000000,1,0x0D0D
385,20,5,41480,429447,48.09565734863281,11.531123161315918,555.0,0.16599999368190765,0.16599999368190765,233.87045288085938,222558,13,3,1,-0.975830078125,-0.010498046875,-0.135498046875,0.985248327255249,-0.8015267252922058,0.22900763154029846,-1.2213740348815918,1,95694.0,0.127471923828125,20.18000030517578,1,0,3769,1,0c0c0000ff050201144c060016000000,0,0x6157
386,20,6,41584,459447,48.095664978027344,11.531115531921387,560.0,0.23899999260902405,0.12700000405311584,38.02302932739258,222628,15,3,1,-0.9755859375,-0.0107421875,-0.130615234375,0.9843493700027466,-0.6030534505844116,0.22900763154029846,-1.2213740348815918,0,95695.0,0.207305908203125,20.149999618530273,1,0,3744,1,0e0c0000ff0c0501dfd4060018000000,0,0x0425
387,20,7,41688,489547,48.095672607421875,11.531106948852539,566.0,0.07699999958276749,-0.16899999976158142,45.0726203918457,222658,11,3,1,-0.978271484375,-0.011962890625,-0.131591796875,0.9871547818183899,-0.6793892979621887,0.48091602325439453,-1.2061069011688232,1,95698.0,-0.0714111328125,20.1299991607666,1,0,3760,1,100c0000ff090300a55d07001a000000,1,0xB585
388,20,8,41792,519550,48.095672607421875,11.531085968017578,565.0,0.13199999928474426,0.014000000432133675,15.16588020324707,222728,15,3,1,-0.96875,-0.0107421875,-0.136474609375,0.9783748388290405,-0.732824444770813,0.21374045312404633,-1.2366411685943604,1,95696.0,0.211700439453125,20.1299991607666,1,0,3750,1,120c0000ff0d050073e607001c000000,1,0x6643
