elapsed_min,vertical_up_mps,ground_speed_mps,accel_mag_g,accel_mag_max_g
53.625,5.11,9.8,1.302,1.823
53.70833,6.34,7.94,1.074,1.714
53.79167,5.86,11.8,1.1315,2.285
53.875,8.74,9.54,1.2535,2.341
53.95833,5.1,9.75,1.301,2.44
54.04167,9.04,11.48,1.203,2.891
54.125,8.29,14.08,1.1365,2.173
54.20833,8.47,15,1.461,2.283
54.29167,7.56,14.71,1.3005,1.891
54.375,6.84,12.58,1.143,1.624
54.45833,5.27,13.81,1.114,1.497
54.54167,5.76,9.63,0.985,1.685
54.625,5.7,6.35,1.064,1.562
54.70833,7.39,5.76,1.131,1.785
54.79167,7.43,7,1.228,2.411
54.875,6.95,9.57,1.35,2.362
54.95833,5.66,11.87,1.27,2.22
55.04167,8.87,10.59,1.2715,2.364
55.125,8.67,7.95,1.207,2.552
55.20833,7.01,8.23,1.5215,2.353
55.29167,6.83,10.17,1.32,3.184
55.375,5.91,13.04,1.344,2.429
55.45833,7.46,14.18,1.2455,1.587
55.54167,5.53,8.35,1.111,1.522
55.625,4.09,7.85,1.0145,1.391
55.70833,5.26,9.71,1.006,1.363
55.79167,5.42,7.1,1.076,1.218
55.875,4.8,8.2,1.062,1.249
55.95833,4.62,8.77,1.096,1.332
56.04167,5.3,8.08,1.0445,1.195
56.125,5.61,9.06,0.955,1.312
56.20833,5.36,8.66,1.0205,1.212
56.29167,5.82,8.43,1.0655,1.255
56.375,4.87,10.32,1.0215,1.131
