elapsed_min,gps_alt_km,baro_alt_km,phase
55.45833,17.185,15.72026,2
55.54167,17.214,15.7399,2
55.625,17.241,15.76163,2
55.70833,17.265,15.78052,2
55.79167,17.298,15.81144,2
55.875,17.325,15.83194,2
55.95833,17.35,15.85427,2
56.04167,17.375,15.87549,2
56.125,17.403,15.89975,2
56.20833,17.43,15.92112,2
56.29167,17.457,15.94316,2
56.375,17.485,15.96707,2
56.45833,17.509,15.98867,2
56.54167,17.534,16.01154,2
56.625,17.559,16.02844,2
56.70833,17.583,16.04963,2
56.79167,17.607,16.06724,2
56.875,17.631,16.09222,2
56.95833,17.66,16.11607,2
57.04167,17.688,16.14185,2
57.125,17.721,16.17144,2
57.20833,17.762,16.19931,2
57.29167,17.801,16.23602,2
57.375,17.833,16.26228,2
57.45833,17.862,16.28048,2
57.54167,17.897,16.3145,2
57.625,17.933,16.34489,2
57.70833,17.971,16.3783,2
57.79167,18.0085,16.40739,2
57.875,18.057,16.44466,2
57.95833,18.092,16.47826,2
58.04167,18.125,16.50618,2
58.125,18.151,16.52443,2
58.20833,18.181,16.54665,2
58.29167,18.211,16.57421,2
58.375,18.244,16.60388,2
58.45833,18.282,16.62837,2
58.54167,18.317,16.65828,2
58.625,18.357,16.68767,2
58.70833,18.397,16.72527,2
58.79167,18.437,16.75294,2
58.875,18.471,16.78412,2
58.95833,18.508,16.81615,2
59.04167,18.547,16.84284,2
59.125,18.591,16.87861,2
59.20833,18.626,16.90626,2
59.29167,18.661,16.9403,2
59.375,18.702,16.97173,2
59.45833,18.741,17.00542,2
59.54167,18.78,17.03434,2
59.625,18.823,17.06979,2
59.70833,18.86,17.10115,2
59.79167,18.895,17.12119,2
59.875,18.931,17.15209,2
59.95833,18.966,17.18822,2
60.04167,19.002,17.20999,2
60.125,19.041,17.24426,2
60.20833,19.079,17.27431,2
60.29167,19.117,17.30301,2
60.375,19.148,17.33409,2
60.45833,19.195,17.36606,2
60.54167,19.232,17.39745,2
60.625,19.271,17.42298,2
60.70833,19.308,17.44937,2
60.79167,19.351,17.4827,2
60.875,19.381,17.5082,2
60.95833,19.416,17.53763,2
61.04167,19.457,17.56452,2
61.125,19.487,17.58688,2
61.20833,19.527,17.61941,2
61.29167,19.567,17.64938,2
61.375,19.598,17.67715,2
61.45833,19.63,17.7015,2
61.54167,19.661,17.72594,2
61.625,19.694,17.75366,2
61.70833,19.729,17.77672,2
61.79167,19.756,17.79827,2
61.875,19.791,17.82391,2
61.95833,19.833,17.85611,2
62.04167,19.869,17.88767,2
62.125,19.902,17.91125,2
62.20833,19.939,17.94146,2
62.29167,19.975,17.97182,2
62.375,20.017,18.00647,2
62.45833,20.055,18.03632,2
62.54167,20.091,18.06382,2
62.625,20.126,18.08725,2
62.70833,20.16,18.11583,2
62.79167,20.199,18.14284,2
62.875,20.239,18.17423,2
62.95833,20.281,18.20407,2
63.04167,20.317,18.23063,2
63.125,20.358,18.26594,2
63.20833,20.391,18.2893,2
63.29167,20.435,18.32321,2
63.375,20.47,18.3538,2
63.45833,20.515,18.38543,2
63.54167,20.552,18.41546,2
63.625,20.587,18.44031,2
63.70833,20.624,18.46436,2
63.79167,20.662,18.49389,2
63.875,20.709,18.52538,2
63.95833,20.742,18.55069,2
64.04167,20.783,18.57974,2
64.125,20.825,18.61442,2
64.20833,20.864,18.64748,2
64.29167,20.9,18.67331,2
64.375,20.936,18.70204,2
64.45833,20.975,18.73092,2
64.54167,21.009,18.75899,2
64.625,21.055,18.79004,2
64.70833,21.092,18.82219,2
64.79167,21.142,18.8469,2
64.875,21.179,18.87554,2
64.95833,21.21,18.90624,2
65.04167,21.253,18.9342,2
65.125,21.297,18.97008,2
65.20833,21.334,18.99249,2
65.29167,21.373,19.02087,2
65.375,21.4,19.04939,2
65.45833,21.438,19.07111,2
65.54167,21.475,19.09889,2
65.625,21.516,19.12579,2
65.70833,21.552,19.15885,2
65.79167,21.583,19.17797,2
65.875,21.618,19.20373,2
65.95833,21.653,19.2296,2
66.04167,21.682,19.25201,2
66.125,21.719,19.27964,2
66.20833,21.761,19.3105,2
66.29167,21.791,19.33426,2
66.375,21.832,19.36125,2
66.45833,21.872,19.39045,2
66.54167,21.908,19.41875,2
66.625,21.951,19.44508,2
66.70833,21.988,19.48003,2
66.79167,22.029,19.50557,2
66.875,22.069,19.52909,2
66.95833,22.108,19.56025,2
67.04167,22.147,19.58832,2
67.125,22.19,19.61871,2
67.20833,22.221,19.63505,2
67.29167,22.261,19.66625,2
67.375,22.3,19.6965,2
67.45833,22.333,19.71972,2
67.54167,22.371,19.74414,2
67.625,22.405,19.7709,2
67.70833,22.444,19.80229,2
67.79167,22.489,19.8282,2
67.875,22.518,19.85309,2
67.95833,22.556,19.87924,2
68.04167,22.593,19.90437,2
68.125,22.63,19.9296,2
68.20833,22.675,19.9642,2
68.29167,22.716,19.99204,2
68.375,22.755,20.02117,2
68.45833,22.797,20.05164,2
68.54167,22.834,20.07754,2
68.625,22.877,20.10595,2
68.70833,22.908,20.13211,2
68.79167,22.949,20.1572,2
68.875,22.99,20.1824,2
68.95833,23.029,20.21014,2
69.04167,23.069,20.24409,2
69.125,23.115,20.27214,2
69.20833,23.157,20.30893,2
69.29167,23.197,20.33236,2
69.375,23.23,20.35714,2
69.45833,23.265,20.37828,2
69.54167,23.294,20.40201,2
69.625,23.333,20.42961,2
69.70833,23.366,20.45104,2
69.79167,23.4,20.47762,2
69.875,23.445,20.50943,2
69.95833,23.485,20.53373,2
70.04167,23.528,20.56458,2
70.125,23.561,20.59043,2
70.20833,23.603,20.61379,2
70.29167,23.635,20.64249,2
70.375,23.679,20.67133,2
70.45833,23.719,20.69636,2
70.54167,23.753,20.72417,2
70.625,23.793,20.74545,2
70.70833,23.829,20.77351,2
70.79167,23.865,20.79229,2
70.875,23.898,20.82059,2
70.95833,23.934,20.8409,2
71.04167,23.976,20.86946,2
71.125,24.007,20.89269,2
71.20833,24.041,20.92015,2
71.29167,24.078,20.94221,2
71.375,24.114,20.96507,2
71.45833,24.152,20.98801,2
71.54167,24.182,21.01317,2
71.625,24.217,21.03421,2
71.70833,24.25,21.05958,2
71.79167,24.285,21.07797,2
71.875,24.319,21.10497,2
71.95833,24.354,21.12638,2
72.04167,24.391,21.15075,2
72.125,24.423,21.17524,2
72.20833,24.464,21.19983,2
72.29167,24.503,21.22454,2
72.375,24.542,21.2567,2
72.45833,24.586,21.28609,2
72.54167,24.624,21.30824,2
72.625,24.66,21.33198,2
72.70833,24.699,21.35582,2
72.79167,24.738,21.38277,2
72.875,24.778,21.40986,2
72.95833,24.817,21.43709,2
73.04167,24.855,21.46293,2
73.125,24.894,21.4935,2
73.20833,24.936,21.51655,2
73.29167,24.97,21.54124,2
73.375,25.014,21.56839,2
