elapsed_min,battery_v,battery_min_v,battery_max_v,coral_fault
22.81667,3.929,3.897,3.948,0
22.85,3.932,3.923,3.942,0
22.88333,3.936,3.92,3.945,0
22.91667,3.929,3.916,3.945,0
22.95,3.9305,3.878,3.952,0
22.98333,3.932,3.92,3.942,0
23.01667,3.934,3.904,3.948,0
23.05,3.932,3.907,3.945,0
23.08333,3.939,3.916,3.955,0
23.11667,3.9245,3.878,3.948,0
23.15,3.936,3.916,3.955,0
23.18333,3.929,3.913,3.945,0
23.21667,3.929,3.884,3.945,0
23.25,3.9305,3.92,3.942,0
23.28333,3.932,3.916,3.958,0
23.31667,3.929,3.904,3.942,0
23.35,3.932,3.916,3.971,0
23.38333,3.934,3.904,3.955,0
23.41667,3.9375,3.862,4.019,0
23.45,3.934,3.923,3.952,0
23.48333,3.929,3.913,3.945,0
23.51667,3.932,3.916,3.952,0
23.55,3.9305,3.9,3.948,0
23.58333,3.929,3.904,3.939,0
23.61667,3.929,3.878,3.948,0
23.65,3.932,3.916,3.942,0
23.68333,3.9305,3.907,3.958,0
23.71667,3.932,3.92,3.945,0
23.75,3.929,3.916,3.945,0
23.78333,3.929,3.881,3.945,0
23.81667,3.9305,3.92,3.952,0
23.85,3.9305,3.868,3.942,0
23.88333,3.923,3.907,3.942,0
23.91667,3.9375,3.891,3.952,0
23.95,3.934,3.916,3.955,0
23.98333,3.929,3.913,3.942,0
24.01667,3.936,3.884,3.945,0
24.05,3.932,3.913,3.945,0
24.08333,3.932,3.92,3.942,0
24.11667,3.929,3.897,3.942,0
24.15,3.929,3.907,3.942,0
24.18333,3.9275,3.913,3.945,0
24.21667,3.936,3.916,3.952,0
24.25,3.934,3.904,3.961,0
24.28333,3.929,3.888,3.942,0
24.31667,3.932,3.92,3.945,0
24.35,3.932,3.916,3.945,0
24.38333,3.932,3.904,3.945,0
24.41667,3.936,3.913,3.942,0
24.45,3.923,3.884,3.936,0
24.48333,3.936,3.923,3.948,0
24.51667,3.9375,3.904,3.952,0
